socialMedia,time,count
twitter_status,2021-10-21,8
twitter_status,2021-10-23,6
twitter_status,2021-10-22,5
twitter_status,2021-10-24,3
twitter_status,2021-10-27,4
twitter_status,2021-10-31,11
twitter_status,2021-10-29,10
twitter_status,2021-10-30,11
twitter_status,2021-11-07,15
twitter_status,2021-11-11,10
twitter_status,2021-11-10,18
twitter_status,2021-11-04,8
twitter_status,2021-11-06,4
twitter_status,2021-11-08,10
twitter_status,2021-11-20,7
twitter_status,2021-11-23,9
twitter_status,2021-11-24,6
twitter_status,2021-11-21,4
twitter_status,2021-11-22,7
twitter_status,2021-11-26,2
twitter_status,2021-12-06,581
twitter_status,2021-12-03,70
twitter_status,2021-12-11,4369
twitter_status,2021-12-17,2461
twitter_status,2021-12-10,6048
twitter_status,2021-12-13,823
twitter_status,2021-12-26,122
twitter_status,2021-12-18,797
twitter_status,2021-12-21,658
twitter_status,2021-12-20,1115
twitter_status,2021-12-28,1957
twitter_status,2021-12-27,841
twitter_status,2020-01-07,6
twitter_status,2020-01-14,24
twitter_status,2020-02-01,7
twitter_status,2020-02-05,234
twitter_status,2020-02-03,5
twitter_status,2020-01-28,3
twitter_status,2020-02-12,17
twitter_status,2020-02-11,21
twitter_status,2020-03-02,44
twitter_status,2020-03-12,20
twitter_status,2020-03-18,22
twitter_status,2020-03-14,11
twitter_status,2020-03-19,15
twitter_status,2020-03-20,5
twitter_status,2020-03-16,11
twitter_status,2020-03-24,358
twitter_status,2020-03-27,490
twitter_status,2020-03-29,19
twitter_status,2020-03-28,93
twitter_status,2020-03-25,11
twitter_status,2020-03-30,11
twitter_status,2020-03-22,504
twitter_status,2020-03-31,21
twitter_status,2020-04-04,7
twitter_status,2020-04-08,14
twitter_status,2020-04-13,162
twitter_status,2020-04-12,149
twitter_status,2020-04-22,513
twitter_status,2020-04-23,221
twitter_status,2020-04-25,15
twitter_status,2020-04-18,13
twitter_status,2020-04-26,4
twitter_status,2020-05-03,24
twitter_status,2020-05-01,4
twitter_status,2020-05-05,6
twitter_status,2020-05-04,11
twitter_status,2020-04-27,5
twitter_status,2020-04-29,2
twitter_status,2020-05-02,8
twitter_status,2020-04-30,3
twitter_status,2020-05-08,6
twitter_status,2020-05-11,5
twitter_status,2020-05-09,3
twitter_status,2020-05-14,7
twitter_status,2020-05-13,4
twitter_status,2020-05-06,3
twitter_status,2020-05-10,5
twitter_status,2020-05-12,3
twitter_status,2020-05-07,7
twitter_status,2020-05-23,728
twitter_status,2020-05-17,58
twitter_status,2020-05-18,9
twitter_status,2020-05-22,32
twitter_status,2020-05-21,108
twitter_status,2020-05-19,10
twitter_status,2020-05-20,4
twitter_status,2020-05-15,7
twitter_status,2020-05-16,11
twitter_status,2020-05-31,13
twitter_status,2020-05-24,22
twitter_status,2020-05-30,12
twitter_status,2020-06-08,23
twitter_status,2020-06-06,15
twitter_status,2020-06-09,24
twitter_status,2020-06-10,20
twitter_status,2020-06-17,6
twitter_status,2020-06-18,2
twitter_status,2020-06-13,4
twitter_status,2020-06-14,12
twitter_status,2020-06-16,4
twitter_status,2020-06-20,15
twitter_status,2020-06-21,8
twitter_status,2020-06-28,3
twitter_status,2020-07-06,129
twitter_status,2020-07-07,33
twitter_status,2020-07-04,5
twitter_status,2020-07-05,3
twitter_status,2020-07-13,179
twitter_status,2020-07-12,9
twitter_status,2020-07-11,3
twitter_status,2020-07-16,12
twitter_status,2020-07-18,71
twitter_status,2020-07-17,7
twitter_status,2020-07-19,7
twitter_status,2020-07-25,5
twitter_status,2020-07-29,10
twitter_status,2020-07-31,2
twitter_status,2020-08-02,5
twitter_status,2020-08-08,6
twitter_status,2020-08-20,8
twitter_status,2020-08-17,3
